alpha,t,c_out,mu,nu,xi,Q,p_end,k_alpha,s,f_A,f_B
0.484,0.7990924076093893,76.52047442813233,7.886045922328636e-07,1.1946202437534392e-06,4.060156515205756e-07,7.559366633159035,0.7,0.828,0.7,8.0,2.0
0.485,0.801435239514977,76.68111312481624,7.596576954519245e-07,1.1506233902150534e-06,3.9096569476312884e-07,7.598077545916058,0.7,0.828,0.7,8.0,2.0
0.486,0.8037826250325748,76.84217998607421,7.313807336113551e-07,1.1076522298376737e-06,3.7627149622631857e-07,7.637473620095086,0.7,0.828,0.7,8.0,2.0
0.487,0.806134581897787,77.00367685114847,7.037681409750576e-07,1.0656979546738787e-06,3.6192981369882105e-07,7.6775767130229,0.7,0.828,0.7,8.0,2.0
0.488,0.8084911279500353,77.16560557025231,6.768142809884315e-07,1.024751653485798e-06,3.4793737249736644e-07,7.71840969680855,0.7,0.828,0.7,8.0,2.0
0.489,0.8108522811333728,77.32796800550322,6.505134453950779e-07,9.848043104798554e-07,3.3429086508477754e-07,7.759996520753981,0.7,0.828,0.7,8.0,2.0
0.49,0.8132180594973015,77.49076602935047,6.248598537634735e-07,9.458468046653023e-07,3.2098695090182885e-07,7.802362277847506,0.7,0.828,0.7,8.0,2.0
0.491,0.8155884811976019,77.65400152627977,5.998476524581591e-07,9.078699083699776e-07,3.080222559118185e-07,7.845533277334604,0.7,0.828,0.7,8.0,2.0
0.492,0.8179635644971681,77.817676392196,5.754709139916345e-07,8.708642863354481e-07,2.953933723438136e-07,7.889537122346702,0.7,0.828,0.7,8.0,2.0
0.493,0.8203433277668526,77.98179253435862,5.517236362689578e-07,8.348204946501707e-07,2.830968583812129e-07,7.9344027938931685,0.7,0.828,0.7,8.0,2.0
0.494,0.8227277894863183,78.14635187205084,5.285997417167855e-07,7.997289795083331e-07,2.7112923779154764e-07,7.980160741885976,0.7,0.828,0.7,8.0,2.0
0.495,0.8251169682449,78.31135633610157,5.060930765746966e-07,7.655800762161311e-07,2.594869996414345e-07,8.02684298332364,0.7,0.828,0.7,8.0,2.0
0.496,0.827510882742474,78.4768078692668,4.841974100496909e-07,7.323640079914455e-07,2.481665979417546e-07,8.074483208953042,0.7,0.828,0.7,8.0,2.0
